christina;christina,why_christina,no_tina,who_the_hell
nullpo;gah
the zombie;dont_call
celeb seventeen;dont_call
kurigohan;dont_tell,still_not_happy
hello;hello
good morning;hello
good afternoon;hello
good evening;hello
time machine;tm_nonsense,tm_no_evidence,tm_dont_know,tm_you_say,tm_not_possible
hot;pervert_confirmed,pervert_idiot,hopeless
boobs;pervert_confirmed,pervert_idiot
boobies;pervert_confirmed,pervert_idiot
sexy;pervert_confirmed,pervert_idiot,hopeless

クリスティーナ;christina,why_christina,no_tina,who_the_hell
ぬるぽ;gah
the zombie;dont_call
セレブセブンティーン;dont_call
アットチャンネル;dont_tell
栗ご飯;dont_tell,still_not_happy
カメハメハ;dont_tell,still_not_happy
ハロー;hello
おはよう;hello
こんにちは;hello
こんばんは;hello
タイムマシーン;tm_nonsense,tm_no_evidence,tm_dont_know,tm_you_say,tm_not_possible
タイムトラベル;tm_nonsense,tm_no_evidence,tm_dont_know,tm_you_say,tm_not_possible
ナイスボディ;pervert_confirmed,pervert_idiot
ほっと;pervert_confirmed,pervert_idiot,hopeless
セクシー;pervert_confirmed,pervert_idiot,hopeless
ボビーズ;pervert_confirmed,pervert_idiot
おっぱい;pervert_confirmed,pervert_idiot

кристина;christina,why_christina,no_tina,who_the_hell
0 по;gah
зомби;dont_call
поп-дива;dont_call
кури гохан;dont_tell,still_not_happy
камехамеха;dont_tell,still_not_happy
привет;hello
доброе утро;hello
добрый день;hello
добрый вечер;hello
машина времени;tm_nonsense,tm_no_evidence,tm_dont_know,tm_you_say,tm_not_possible
горячая;pervert_confirmed,pervert_idiot,hopeless
сисечки;pervert_confirmed,pervert_idiot
секси;pervert_confirmed,pervert_idiot,hopeless